timestamp_ms,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3604,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3606,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3608,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3610,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3612,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3614,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3616,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3618,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3620,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3622,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3624,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3626,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3628,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3630,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3632,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3634,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3636,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3638,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3640,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3642,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3644,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3646,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3648,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3650,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3652,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3654,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3656,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3658,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3660,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3662,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3664,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3666,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3668,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3670,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3672,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3674,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3676,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3678,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3680,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
